what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550104954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550108460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550109510
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1780550109810
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550111138
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780550111351
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780550113113
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550115334
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780550120733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780550121437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780550123038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1780550124342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780550125475
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780550126237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550128358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550130075
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1780550130380
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550131646
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780550131862
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780550133652
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550135890
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780550143925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550146135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550148206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550150770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550152577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550152639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550155999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550167501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550168556
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1780550168851
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550170103
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780550170304
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780550172023
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550174297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550186918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550198044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550201934
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780550202939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550207603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550216915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550218221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550225227
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780550226648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550229731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550230950
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1780550231240
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550232573
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780550232785
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780550234519
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780550236743
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780550247439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780550259597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550263031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550263782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550264161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550298584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550313594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550316860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780550328051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780550328376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780550328543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780550329044
