what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid] return code: 4, 'other error'",1780025539956
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/d/ProjectSoC2/DoAnSoC_new/Software/matrix_accel_SW/matrix_accel_SW.elf] return code: 4, 'other error'",1780025542878
error,log,,,"Downloading ELF Process failed",1780025542878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780025542878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780025593078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780025596283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780025597285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780025598626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780025798717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780025801187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780025811057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780025813252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026214820
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780026216829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026219809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026228894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026229953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026236250
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780026236546
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780026236734
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780026240404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780026250492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026251336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026260441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026266034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026301861
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780026303534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026316023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026362531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026368500
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780026370257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026375932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026389651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026393593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026400793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026411689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026412776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026412787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026415703
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1780026415703
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780026417871
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780026425667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026432097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026433681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026442628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026449897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026454091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026463624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026463654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026467118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026472556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026483470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026486764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780026495314
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780026499195
